p2sigma m2sigma msigma psigma zaxis mean
17.348391541 9.669285072 13.507855173 15.862561073 198.5 15.111859
17.536446226 9.775666454 13.690286403 16.088518965 199.0 15.326228
17.816042258 9.9156978 13.885588373 16.337540028 199.5 15.5420615
18.075699727 10.086934633 14.099823852 16.591705036 200.0 15.7794545
18.354987062 10.266540708 14.273594663 16.851639324 200.5 16.0149675
18.637409812 10.452244144 14.474589694 17.122614915 201.0 16.2541075
18.965049311 10.584178446 14.697914045 17.386342219 201.5 16.5004165
19.237030648 10.742321893 14.958345434 17.657467234 202.0 16.7585925
19.529337524 10.968155725 15.224489618 17.926272868 202.5 17.0131785
19.859923546 11.164789643 15.481489656 18.203321172 203.0 17.281623
20.097904545 11.328139228 15.700021461 18.470368008 203.5 17.541127
20.321448673 11.479140991 15.941015816 18.714190116 204.0 17.765432
20.567291796 11.633810753 16.185582081 18.953584923 204.5 17.9773855
20.805345099 11.80232305 16.38542938 19.194658202 205.0 18.2218455
